WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.1148834 -6.3257552)",1537.0,16.0,Kabupaten Pandeglang,3601.0,2.0,-6.3257552,106.1148834,1.0
"POINT (106.2522143 -6.5643956)",1538.0,16.0,Kabupaten Lebak,3602.0,2.0,-6.5643956,106.2522143,1.0
"POINT (106.6363521 -6.1694309)",1539.0,16.0,Kabupaten Tangerang,3603.0,2.0,-6.1694309,106.6363521,1.0
"POINT (106.1530456 -6.1156522)",1540.0,16.0,Kabupaten Serang,3604.0,2.0,-6.1156522,106.1530456,1.0
"POINT (106.6387554 -6.1690896)",1541.0,16.0,Kota Tangerang,3671.0,2.0,-6.1690896,106.6387554,1.0
"POINT (106.0552689 -6.0184336)",1542.0,16.0,Kota Cilegon,3672.0,2.0,-6.0184336,106.0552689,1.0
"POINT (106.1527023 -6.116591)",1543.0,16.0,Kota Serang,3673.0,2.0,-6.116591,106.1527023,1.0
"POINT (106.7105025 -6.2810398)",1768.0,16.0,Kota Tangerang Selatan,3674.0,2.0,-6.2810398,106.7105025,1.0
