WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (110.1640846 -7.8266798)",1532.0,14.0,Kabupaten Kulon Progo,3401.0,2.0,-7.8266798,110.1640846,1.0
"POINT (110.3248414 -7.8741533)",1533.0,14.0,Kabupaten Bantul,3402.0,2.0,-7.8741533,110.3248414,1.0
"POINT (110.6168492 -8.0306366)",1534.0,14.0,Kabupaten Gunung Kidul,3403.0,2.0,-8.0306366,110.6168492,1.0
"POINT (110.335403 -7.716165)",1767.0,14.0,Kabupaten Sleman,3404.0,2.0,-7.716165,110.335403,1.0
"POINT (110.3644196 -7.8008381)",1536.0,14.0,Kota Yogyakarta,3471.0,2.0,-7.8008381,110.3644196,1.0
