WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.5998953 -5.7393894)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7393894,106.5998953,1.0
"POINT (106.8037953 -6.2565302)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.2565302,106.8037953,1.0
"POINT (106.8959838 -6.2238313)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.2238313,106.8959838,1.0
"POINT (106.8211393 -6.1937951)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.1937951,106.8211393,1.0
"POINT (106.7586549 -6.1664873)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.1664873,106.7586549,1.0
"POINT (106.9021631 -6.1494211)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.1494211,106.9021631,1.0
